Team_ID, Team_Name, Team_Mascot, Team_Location, Team_State, Team_Conference
721,Air Force,Falcons,Colorado Springs,Colorado,Mountain West
,,,,,
5,Akron,Zips,Akron,Ohio,MAC
,,,,,
8,Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC
,,,,,
27,Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt
,,,,,
29,Arizona,Wildcats,Tucson,Arizona,Pac-12
,,,,,
28,Arizona State,Sun Devils,Tempe,Arizona,Pac-12
,,,,,
31,Arkansas,Razorbacks,Fayetteville,Arkansas,SEC
,,,,,
30,Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt
,,,,,
37,Auburn,Tigers,Auburn,Alabama,SEC
,,,,,
77,BYU,Cougars,Provo,Utah,Independent
,,,,,
47,Ball State,Cardinals,Muncie,Indiana,MAC
,,,,,
51,Baylor,Bears,Waco,Texas,Big 12
,,,,,
66,Boise State,Broncos,Boise,Idaho,Mountain West
,,,,,
67,Boston College,Eagles,Chestnut Hill,Massachusetts,ACC
,,,,,
71,Bowling Green,Falcons,Bowling Green,Ohio,MAC
,,,,,
86,Buffalo,Bulls,Buffalo,New York,MAC
,,,,,
107,California,Golden Bears,Berkeley,California,Pac-12
,,,,,
129,Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC
,,,,,
458,Charlotte,49ers,Charlotte,North Carolina,C-USA
,,,,,
140,Cincinnati,Bearcats,Cincinnati,Ohio,American
,,,,,
147,Clemson,Tigers,Clemson,South Carolina,ACC
,,,,,
149,Coastal Carolina,Chanticleers,Conway,South Carolina,Sun Belt
,,,,,
157,Colorado,Buffaloes,Boulder,Colorado,Pac-12
,,,,,
156,Colorado State,Rams,Fort Collins,Colorado,Mountain West
,,,,,
164,Connecticut,Huskies,Storrs,Connecticut,American
,,,,,
193,Duke,Blue Devils,Durham,North Carolina,ACC
,,,,,
196,East Carolina,Pirates,Greenville,North Carolina,American
,,,,,
204,Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC
,,,,,
235,Florida,Gators,Gainesville,Florida,SEC
,,,,,
229,Florida Atlantic,Owls,Boca Raton,Florida,C-USA
,,,,,
234,Florida State,Seminoles,Tallahassee,Florida,ACC
,,,,,
96,Fresno State,Bulldogs,Fresno,California,Mountain West
,,,,,
257,Georgia,Bulldogs,Athens,Georgia,SEC
,,,,,
253,Georgia Southern,Eagles,Statesboro,Georgia,Sun Belt
,,,,,
254,Georgia State,Panthers,Atlanta,Georgia,Sun Belt
,,,,,
255,Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC
,,,,,
277,Hawai'i,Rainbow Warriors,Honolulu,Hawai'i,Mountain West
,,,,,
288,Houston,Cougars,Houston,Texas,American
,,,,,
301,Illinois,Fighting Illini,Urbana,Champaign,Illinois
,,,,,
306,Indiana,Hoosiers,Bloomington,Indiana,Big Ten
,,,,,
312,Iowa,Hawkeyes,Iowa City,Iowa,Big Ten
,,,,,
311,Iowa State,Cyclones,Ames,Iowa,Big 12
,,,,,
328,Kansas,Jayhawks,Lawrence,Kansas,Big 12
,,,,,
327,Kansas State,Wildcats,Manhattan,Kansas,Big 12
,,,,,
331,Kent State,Golden Flashes,Kent,Ohio,MAC
,,,,,
334,Kentucky,Wildcats,Lexington,Kentucky,SEC
,,,,,
365,LSU,Tigers,Baton Rouge,Louisiana,SEC
,,,,,
366,Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA
,,,,,
671,Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt
,,,,,
498,Louisiana-Monroe,Warhawks,Monroe,Louisiana,Sun Belt
,,,,,
367,Louisville,Cardinals,Louisville,Kentucky,ACC
,,,,,
388,Marshall,Thundering Herd,Huntington,West Virginia,C-USA
,,,,,
392,Maryland,Terrapins,College Park,Maryland,Big Ten
,,,,,
400,Massachusetts,Minutemen,Amherst,Massachusetts,Independent
,,,,,
404,Memphis,Tigers,Memphis,Tennessee,American
,,,,,
418,Michigan,Wolverines,Ann Arbor,Michigan,Big Ten
,,,,,
416,Michigan State,Spartans,East Lansing,Michigan,Big Ten
,,,,,
419,Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA
,,,,,
428,Minnesota,Golden Gophers,Minneapolis,Minnesota,Big Ten
,,,,,
430,Mississippi State,Bulldogs,Starkville,Mississippi,SEC
,,,,,
434,Missouri,Tigers,Columbia,Missouri,SEC
,,,,,
726,Navy,Midshipmen,Annapolis,Maryland,American
,,,,,
463,Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten
,,,,,
466,Nevada,Wolf Pack,Reno,Nevada,Mountain West
,,,,,
473,New Mexico,Lobos,Albuquerque,New Mexico,Mountain West
,,,,,
472,New Mexico State,Aggies,Las Cruces,New Mexico,Independent
,,,,,
457,North Carolina,Tar Heels,Chapel Hill,North Carolina,ACC
,,,,,
497,North Texas,Mean Green,Denton,Texas,C-USA
,,,,,
509,Northwestern,Wildcats,Evanston,Illinois,Big Ten
,,,,,
513,Notre Dame,Fighting Irish,South Bend,Indiana,Independent
,,,,,
519,Ohio,Bobcats,Athens,Ohio,MAC
,,,,,
518,Ohio State,Buckeyes,Columbus,Ohio,Big Ten
,,,,,
522,Oklahoma,Sooners,Norman,Oklahoma,Big 12
,,,,,
521,Oklahoma State,Cowboys,Stillwater,Oklahoma,Big 12
,,,,,
523,Old Dominion,Monarchs,Norfolk,Virginia,C-USA
,,,,,
529,Oregon,Ducks,Eugene,Oregon,Pac-12
,,,,,
528,Oregon State,Beavers,Corvallis,Oregon,Pac-12
,,,,,
539,Penn State,Nittany Lions,University Park,Pennsylvania,Big Ten
,,,,,
545,Pittsburgh,Panthers,Pittsburgh,Pennsylvania,ACC
,,,,,
559,Purdue,Boilermakers,West Lafayette,Indiana,Big Ten
,,,,,
574,Rice,Owls,Houston,Texas,C-USA
,,,,,
587,Rutgers,Scarlet Knights,Piscataway,New Jersey,Big Ten
,,,,,
663,SMU,Mustangs,University Park,Texas,American
,,,,,
626,San Diego State,Aztecs,San Diego,California,Mountain West
,,,,,
630,San Jose State,Spartans,San Jose,California,Mountain West
,,,,,
646,South Alabama,Jaguars,Mobile,Alabama,Sun Belt
,,,,,
648,South Carolina,Gamecocks,Columbia,South Carolina,SEC
,,,,,
651,South Florida,Bulls,Tampa,Florida,American
,,,,,
674,Stanford,Cardinal,Stanford,California,Pac-12
,,,,,
688,Syracuse,Orange,Syracuse,New York,ACC
,,,,,
698,TCU,Horned Frogs,Fort Worth,Texas,Big 12
,,,,,
690,Temple,Owls,Philadelphia,Pennsylvania,American
,,,,,
694,Tennessee,Volunteers,Knoxville,Tennessee,SEC
,,,,,
703,Texas,Longhorns,Austin,Texas,Big 12
,,,,,
697,Texas A&M,Aggies,College Station,Texas,SEC
,,,,,
670,Texas State,Bobcats,San Marcos,Texas,Sun Belt
,,,,,
700,Texas Tech,Red Raiders,Lubbock,Texas,Big 12
,,,,,
709,Toledo,Rockets,Toledo,Ohio,MAC
,,,,,
716,Troy,Trojans,Troy,Alabama,Sun Belt
,,,,,
718,Tulane,Green Wave,New Orleans,Louisiana,American
,,,,,
719,Tulsa,Golden Hurricane,Tulsa,Oklahoma,American
,,,,,
9,UAB,Blazers,Birmingham,Alabama,C-USA
,,,,,
128,UCF,Knights,Orlando,Florida,American
,,,,,
110,UCLA,Bruins,Los Angeles,California,Pac-12
,,,,,
465,UNLV,Rebels,Las Vegas,Nevada,Mountain West
,,,,,
657,USC,Trojans,Los Angeles,California,Pac-12
,,,,,
704,UTEP,Miners,El Paso,Texas,C-USA
,,,,,
706,UTSA,Roadrunners,San Antonio,Texas,C-USA
,,,,,
732,Utah,Utes,Salt Lake City,Utah,Pac-12
,,,,,
731,Utah State,Aggies,Logan,Utah,Mountain West
,,,,,
736,Vanderbilt,Commodores,Nashville,Tennessee,SEC
,,,,,
746,Virginia,Cavaliers,Charlottesville,Virginia,ACC
,,,,,
742,Virginia Tech,Hokies,Blacksburg,Virginia,ACC
,,,,,
749,Wake Forest,Demon Deacons,Winston-Salem,North Carolina,ACC
,,,,,
756,Washington,Huskies,Seattle,Washington,Pac-12
,,,,,
754,Washington State,Cougars,Pullman,Washington,Pac-12
,,,,,
768,West Virginia,Mountaineers,Morgantown,West Virginia,Big 12
,,,,,
772,Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA
,,,,,
774,Western Michigan,Broncos,Kalamazoo,Michigan,MAC
,,,,,
796,Wisconsin,Badgers,Madison,Wisconsin,Big Ten
,,,,,
811,Wyoming,Cowboys,Laramie,Wyoming,Mountain West
